width,depth,one_gates,two_gates,Dp1,Dp2,Dp3,P,O,F,S,ideal_prob
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.097,0.108,0.903,2.0,0.18
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.005,0.005,0.995,3.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.017,0.017,0.983,3.0,0.031
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.008,0.008,0.992,5.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.006,0.006,0.994,4.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.018,0.018,0.982,4.0,0.004
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.007,0.007,0.993,3.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.005,0.005,0.995,2.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.012,0.012,0.988,2.0,0.004
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.011,0.011,0.989,6.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.003,0.003,0.997,1.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.013,0.013,0.987,4.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.01,0.01,0.99,4.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.008,0.008,0.992,4.0,0.004
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.004,0.004,0.996,2.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.016,0.016,0.984,4.0,0.008
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.014,0.014,0.986,3.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.021,0.022,0.979,4.0,0.029
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.01,0.01,0.99,2.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.009,0.009,0.991,3.0,0.008
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.107,0.121,0.893,4.0,0.213
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.006,0.006,0.994,5.0,0.004
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.015,0.015,0.985,3.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.03,0.031,0.97,2.0,0.034
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.012,0.012,0.988,4.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.021,0.021,0.979,4.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.031,0.032,0.969,1.0,0.028
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.009,0.009,0.991,3.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.002,0.002,0.998,4.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.006,0.006,0.994,3.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.016,0.016,0.984,1.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.008,0.008,0.992,4.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.008,0.008,0.992,4.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.005,0.005,0.995,2.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.016,0.016,0.984,3.0,0.009
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.021,0.022,0.979,5.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.007,0.007,0.993,4.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.014,0.014,0.986,2.0,0.01
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.019,0.019,0.981,3.0,0.011
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.005,0.005,0.995,5.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.006,0.006,0.994,0.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.011,0.011,0.989,5.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.019,0.019,0.981,3.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.004,0.004,0.996,4.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.003,0.003,0.997,2.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.002,0.002,0.998,2.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.018,0.018,0.982,3.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.015,0.015,0.985,2.0,0.005
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.006,0.006,0.994,2.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.004,0.004,0.996,2.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.004,0.004,0.996,3.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.004,0.004,0.996,2.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.01,0.01,0.99,3.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.005,0.005,0.995,1.0,0.003
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.003,0.003,0.997,3.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.007,0.007,0.993,1.0,0.002
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.002,0.002,0.998,3.0,0.001
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.002,0.002,0.998,3.0,-1.0
12.0,451.0,919.0,105.0,0.35,0.462,0.634,0.001,0.001,0.999,1.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.008,0.008,0.992,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,6.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,1.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.045,0.048,0.955,5.0,0.126
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.012,0.012,0.988,3.0,0.011
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.021,0.021,0.979,1.0,0.012
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.012,0.012,0.988,4.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,2.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,6.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.008,0.008,0.992,5.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.008,0.008,0.992,3.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.051,0.054,0.949,6.0,0.142
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,1.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.012,0.012,0.988,3.0,0.004
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.01,0.01,0.99,7.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,3.0,0.004
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.017,0.017,0.983,4.0,0.009
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,5.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.014,0.014,0.986,3.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.05,0.052,0.95,3.0,0.116
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,4.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.008,0.008,0.992,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,4.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.011,0.011,0.989,4.0,0.009
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.007,0.007,0.993,4.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,4.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,1.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,1.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.007,0.007,0.993,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,4.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.043,0.045,0.957,4.0,0.09
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.009,0.009,0.991,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,6.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.009,0.009,0.991,4.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.036,0.037,0.964,2.0,0.087
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.012,0.012,0.988,3.0,0.01
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.007,0.007,0.993,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,6.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,3.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.047,0.049,0.953,2.0,0.115
