width,depth,one_gates,two_gates,Dp1,Dp2,Dp3,P,O,F,S,ideal_prob
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.047,0.05,0.953,1.0,0.082
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.017,0.017,0.983,4.0,0.004
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.021,0.021,0.979,3.0,0.019
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.015,0.015,0.985,4.0,0.003
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.039,0.041,0.961,2.0,0.042
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.014,0.014,0.986,4.0,0.005
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.036,0.037,0.964,1.0,0.08
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.039,0.04,0.961,2.0,0.044
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.03,0.031,0.97,3.0,0.013
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.022,0.022,0.978,0.0,0.003
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.048,0.05,0.952,1.0,0.063
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.038,0.039,0.962,2.0,0.052
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.034,0.035,0.966,2.0,0.049
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.055,0.058,0.945,1.0,0.064
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.019,0.019,0.981,5.0,0.003
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.024,0.025,0.976,3.0,0.018
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.03,0.031,0.97,3.0,0.021
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.029,0.03,0.971,2.0,0.039
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.039,0.04,0.961,2.0,0.043
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.021,0.022,0.979,3.0,0.018
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.027,0.028,0.973,3.0,0.018
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.028,0.029,0.972,3.0,0.014
15.0,629.0,1518.0,159.0,0.393,0.627,0.785,0.015,0.015,0.985,4.0,0.003
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.016,0.016,0.984,2.0,0.008
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.018,0.018,0.982,5.0,0.002
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,3.0,0.036
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,3.0,0.04
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,4.0,0.003
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.016,0.016,0.984,4.0,0.005
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.012,0.012,0.988,4.0,0.007
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,1.0,0.001
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,4.0,0.005
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.012,0.012,0.988,2.0,0.007
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.012,0.012,0.988,5.0,0.002
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.025,0.026,0.975,3.0,0.035
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.018,0.018,0.982,3.0,0.041
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.02,0.02,0.98,3.0,0.035
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,2.0,0.005
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,3.0,0.042
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.021,0.021,0.979,3.0,0.041
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.017,0.017,0.983,4.0,0.007
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,1.0,0.002
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.02,0.02,0.98,3.0,0.036
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.009,0.009,0.991,5.0,0.002
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.016,0.016,0.984,3.0,0.043
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,3.0,0.042
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.012,0.012,0.988,5.0,0.001
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.008,0.008,0.992,0.0,0.01
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.013,0.013,0.987,5.0,0.001
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.017,0.017,0.983,3.0,0.042
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.011,0.011,0.989,2.0,0.005
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,3.0,0.033
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,4.0,0.009
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.013,0.013,0.987,4.0,0.008
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.02,0.02,0.98,5.0,-1.0
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.021,0.022,0.979,3.0,0.036
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.017,0.017,0.983,2.0,0.007
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,2.0,0.003
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,4.0,0.008
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,3.0,0.045
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,2.0,0.006
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.012,0.012,0.988,2.0,0.005
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,1.0,0.003
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,4.0,0.006
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,4.0,0.01
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,2.0,0.008
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,6.0,0.009
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.013,0.013,0.987,2.0,0.005
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.021,0.022,0.979,2.0,0.004
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,4.0,0.006
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.012,0.012,0.988,1.0,0.003
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.016,0.016,0.984,3.0,0.039
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.016,0.016,0.984,3.0,0.04
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,3.0,0.033
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.021,0.022,0.979,3.0,0.042
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.014,0.014,0.986,4.0,0.004
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,2.0,0.004
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.018,0.018,0.982,3.0,0.042
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.019,0.019,0.981,4.0,0.006
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.013,0.013,0.987,1.0,0.001
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.016,0.016,0.984,4.0,0.006
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.01,0.01,0.99,1.0,0.001
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.013,0.013,0.987,2.0,0.007
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.017,0.017,0.983,3.0,0.036
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.016,0.016,0.984,2.0,0.007
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.015,0.015,0.985,4.0,0.007
18.0,933.0,2625.0,285.0,0.578,0.819,0.842,0.011,0.011,0.989,2.0,0.006
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,3.0,0.023
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,2.0,0.008
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,3.0,0.015
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,5.0,0.014
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,3.0,0.015
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.011,0.011,0.989,2.0,0.005
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,3.0,0.014
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,2.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.012,0.012,0.988,6.0,0.005
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,2.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,5.0,0.009
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,3.0,0.017
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,3.0,0.02
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,3.0,0.016
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,7.0,0.006
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,3.0,0.012
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,2.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,5.0,0.009
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,2.0,0.005
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,4.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,6.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,1.0,0.009
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.018
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,3.0,0.021
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,2.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.012,0.012,0.988,0.0,0.01
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,6.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,2.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,3.0,0.017
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,5.0,0.009
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,3.0,0.022
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.004,0.004,0.996,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,2.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,3.0,0.018
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,2.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,5.0,0.012
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.011,0.011,0.989,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,3.0,0.014
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,2.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,3.0,0.017
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.022
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,5.0,0.014
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,5.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.013,0.013,0.987,5.0,0.012
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,5.0,0.013
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,5.0,0.011
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.011,0.011,0.989,3.0,0.014
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,3.0,0.015
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,6.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,1.0,0.009
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,3.0,0.016
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,5.0,0.01
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,2.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,5.0,0.012
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.011,0.011,0.989,2.0,0.008
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,2.0,0.005
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,3.0,0.013
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,3.0,0.01
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,2.0,0.005
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,2.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,5.0,0.011
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.004,0.004,0.996,5.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.013,0.013,0.987,5.0,0.01
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,5.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,3.0,0.021
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.011,0.011,0.989,1.0,0.007
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.004,0.004,0.996,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.004,0.004,0.996,4.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,3.0,0.012
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,3.0,0.011
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,5.0,0.014
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,3.0,0.011
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,6.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,2.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.011,0.011,0.989,6.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.004,0.004,0.996,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,2.0,0.005
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.013,0.013,0.987,3.0,0.018
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.017
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,4.0,0.006
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,-1.0
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.005,0.005,0.995,1.0,0.017
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.013
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.004,0.004,0.996,2.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.019
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,5.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,3.0,0.019
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,6.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.017
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.011,0.011,0.989,2.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,2.0,0.01
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,3.0,0.014
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,5.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,3.0,0.012
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,5.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,1.0,0.011
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.01,0.01,0.99,4.0,0.002
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.007,0.007,0.993,4.0,0.003
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.015
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,5.0,0.004
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.003,0.003,0.997,4.0,0.001
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.008,0.008,0.992,1.0,0.012
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.006,0.006,0.994,3.0,0.018
21.0,870.0,3039.0,318.0,0.684,0.824,0.949,0.009,0.009,0.991,1.0,0.009
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,5.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,3.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,5.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,7.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.006,0.006,0.994,4.0,0.013
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,3.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,5.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,3.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,3.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,5.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,2.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,6.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,1.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,3.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.006,0.006,0.994,4.0,0.012
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,3.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,5.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.008,0.008,0.992,3.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,3.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,7.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,3.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,3.0,0.003
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,3.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,2.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,5.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,4.0,0.008
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,2.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,5.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,4.0,0.014
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,4.0,0.015
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,3.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,1.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,3.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,6.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,4.0,0.012
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,5.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,4.0,0.008
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.007,0.007,0.993,4.0,0.019
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,6.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,5.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,3.0,0.003
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.006,0.006,0.994,3.0,0.003
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,4.0,0.011
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,5.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,2.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,5.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.006,0.006,0.994,3.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.001,0.001,0.999,5.0,0.003
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,6.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,6.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,3.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,5.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,2.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,2.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,5.0,0.001
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.007,0.007,0.993,4.0,0.007
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.007,0.007,0.993,4.0,0.012
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.001,0.001,0.999,7.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,4.0,0.012
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.007,0.007,0.993,4.0,0.016
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,2.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.002,0.002,0.998,2.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,6.0,-1.0
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.005,0.005,0.995,4.0,0.011
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.004,0.004,0.996,5.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,3.0,0.002
24.0,1074.0,4080.0,438.0,0.749,0.914,0.955,0.003,0.003,0.997,2.0,0.001
