width,depth,gate_counts_1q,gate_counts_2q,Dp1,Dp2,Dp3,POS,POF,ODR,target
4,10,14,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.486,0.514,0.944,0.50830078125
4,10,14,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.29,0.71,0.408,0.3017578125
4,10,14,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.135,0.865,0.156,0.1240234375
4,10,14,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.09,0.91,0.099,0.06591796875
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.095,0.905,0.105,0.080078125
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.221,0.779,0.284,0.26025390625
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.215,0.785,0.273,0.25048828125
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.088,0.912,0.097,0.072265625
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.06,0.94,0.064,0.03076171875
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.214,0.786,0.272,0.23095703125
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.073,0.927,0.079,0.06884765625
6,22,27,6,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.033,0.967,0.034,0.00634765625
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.041,0.959,0.042,0.00341796875
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.038,0.962,0.04,0.01513671875
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.145,0.855,0.17,0.2119140625
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.041,0.959,0.043,0.02001953125
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.142,0.858,0.166,0.1962890625
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.167,0.833,0.201,0.2490234375
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.031,0.969,0.032,0.00830078125
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.034,0.966,0.036,0.0078125
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.015,0.985,0.015,0.001953125
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.036,0.964,0.037,0.00634765625
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.17,0.83,0.205,0.23974609375
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.033,0.967,0.035,0.01220703125
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.013,0.987,0.013,0.00341796875
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.039,0.961,0.041,0.00244140625
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.028,0.972,0.029,0.0068359375
8,40,47,12,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.026,0.974,0.027,0.01611328125
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.018,0.982,0.018,0.00244140625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.033,0.967,0.034,0.00341796875
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.09,0.91,0.099,0.17822265625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.03,0.97,0.03,0.01123046875
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.016,0.984,0.017,0.0048828125
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.029,0.971,0.03,0.00537109375
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.084,0.916,0.092,0.18798828125
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.029,0.971,0.03,0.00244140625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.031,0.969,0.032,-1.0
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.02,0.98,0.02,0.009765625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.018,0.982,0.019,0.00390625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.014,0.986,0.015,0.00537109375
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.081,0.919,0.089,0.1396484375
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.03,0.97,0.031,0.03515625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.023,0.977,0.024,0.00830078125
